ticker,year,record,pf,pa,expected,comp
crd,2002,"
  Record: 5-11-0, 4th	NFC West Division
   (Schedule and Results)
",Points For: 262 (16.4/g) 29th of 32,Points Against: 417 (26.1/g) 29th of 32,Expected W-L: 4.0-12.0,"SRS: -9.89 (31st of 32), 
  SOS: -0.20
"
atl,2002,"
  Record: 9-6-1, 2nd	NFC South Division
   (Schedule and Results)
",Points For: 402 (25.1/g) 5th of 32,Points Against: 314 (19.6/g) 8th of 32,Expected W-L: 10.3-5.7,"SRS: 5.06 (6th of 32), 
  SOS: -0.44
"
rav,2002,"
  Record: 7-9-0, 3rd	AFC North Division
   (Schedule and Results)
",Points For: 316 (19.8/g) 23rd of 32,Points Against: 354 (22.1/g) 19th of 32,Expected W-L: 6.9-9.1,"SRS: -2.12 (22nd of 32), 
  SOS: .26
"
buf,2002,"
  Record: 8-8-0, 4th	AFC East Division
   (Schedule and Results)
",Points For: 379 (23.7/g) 11th of 32,Points Against: 397 (24.8/g) 27th of 32,Expected W-L: 7.6-8.4,"SRS: -0.27 (19th of 32), 
  SOS: .85
"
car,2002,"
  Record: 7-9-0, 4th	NFC South Division
   (Schedule and Results)
",Points For: 258 (16.1/g) 30th of 32,Points Against: 302 (18.9/g) 5th of 32,Expected W-L: 6.5-9.5,"SRS: -3.27 (24th of 32), 
  SOS: -0.52
"
chi,2002,"
  Record: 4-12-0, 3rd	NFC North Division
   (Schedule and Results)
",Points For: 281 (17.6/g) 27th of 32,Points Against: 379 (23.7/g) 25th of 32,Expected W-L: 5.3-10.7,"SRS: -5.27 (27th of 32), 
  SOS: .86
"
cin,2002,"
  Record: 2-14-0, 4th	AFC North Division
   (Schedule and Results)
",Points For: 279 (17.4/g) 28th of 32,Points Against: 456 (28.5/g) 32nd of 32,Expected W-L: 3.8-12.2,"SRS: -10.50 (32nd of 32), 
  SOS: .56
"
cle,2002,"
  Record: 9-7-0, 2nd	AFC North Division
   (Schedule and Results)
",Points For: 344 (21.5/g) 19th of 32,Points Against: 320 (20.0/g) 10th of 32,Expected W-L: 8.7-7.3,"SRS: 1.23 (14th of 32), 
  SOS: -0.27
"
dal,2002,"
  Record: 5-11-0, 4th	NFC East Division
   (Schedule and Results)
",Points For: 217 (13.6/g) 31st of 32,Points Against: 329 (20.6/g) 13th of 32,Expected W-L: 4.3-11.7,"SRS: -8.48 (28th of 32), 
  SOS: -1.48
"
den,2002,"
  Record: 9-7-0, 2nd	AFC West Division
   (Schedule and Results)
",Points For: 392 (24.5/g) 7th of 32,Points Against: 344 (21.5/g) 15th of 32,Expected W-L: 9.2-6.8,"SRS: 4.89 (7th of 32), 
  SOS: 1.89
"
det,2002,"
  Record: 3-13-0, 4th	NFC North Division
   (Schedule and Results)
",Points For: 306 (19.1/g) 26th of 32,Points Against: 451 (28.2/g) 31st of 32,Expected W-L: 4.6-11.4,"SRS: -9.17 (29th of 32), 
  SOS: -0.11
"
gnb,2002,"
  Record: 12-4-0, 1st	NFC North Division
   (Schedule and Results)
",Points For: 398 (24.9/g) 6th of 32,Points Against: 328 (20.5/g) 12th of 32,Expected W-L: 9.8-6.2,"SRS: 3.58 (9th of 32), 
  SOS: -0.79
"
