Jump,Date,Exit Altitude (feet),Deploy Alt (feet),Freefall Distance (feet)
1,14-08-2012,13500,6000,7500
2,04-05-2013,13500,6000,7500
3,05-05-2013,14000,6000,8000
4,26-05-2013,13500,6000,7500
5,26-05-2013,11000,6000,5000
6,09-06-2013,12500,4500,8000
7,09-06-2013,13000,5000,8000
8,20-06-2013,13500,6000,7500
9,20-06-2013,13500,4000,9500
10,26-06-2013,13500,4000,9500
11,26-06-2013,13500,4000,9500
12,30-06-2013,5500,5000,500
13,30-06-2013,3500,3000,500
14,30-06-2013,13500,5500,8000
15,12-07-2013,14000,4500,9500
16,12-07-2013,14000,4500,9500
17,20-07-2013,14000,4500,9500
18,20-07-2013,13500,4000,9500
19,20-07-2013,13500,4000,9500
20,21-07-2013,13500,4000,9500
21,21-07-2013,13500,4000,9500
22,21-07-2013,14000,4500,9500
23,21-07-2013,13500,4000,9500
24,21-07-2013,13500,5500,8000
25,21-07-2013,13500,4000,9500
26,21-07-2013,7000,4000,3000
27,24-07-2013,14000,4000,10000
28,03-08-2013,13500,5000,8500
29,03-08-2013,13500,4500,9000
30,03-08-2013,13500,4500,9000
31,03-08-2013,14000,4500,9500
32,03-08-2013,14000,4500,9500
33,04-08-2013,7000,4500,2500
34,04-08-2013,6000,4000,2000
35,04-08-2013,14000,5000,9000
36,04-08-2013,14000,5000,9000
37,04-08-2013,5500,4000,1500
38,04-08-2013,14000,4000,10000
39,04-08-2013,14000,3500,10500
40,21-08-2013,5000,3000,2000
41,21-08-2013,13500,3000,10500
42,24-08-2013,13500,3500,10000
43,24-08-2013,13500,3500,10000
44,24-08-2013,13500,3500,10000
45,24-08-2013,13500,3000,10500
46,13-09-2013,13000,4000,9000
47,20-04-2014,13500,6000,7500
48,20-04-2014,15000,3500,11500
49,27-04-2014,14000,4000,10000
50,27-04-2014,14000,3500,10500
51,27-04-2014,13500,3500,10000
52,27-04-2014,13500,4000,9500
53,27-04-2014,13500,4000,9500
54,17-05-2014,13500,4000,9500
55,17-05-2014,13500,4000,9500
56,18-05-2014,13500,4000,9500
57,18-05-2014,14500,4500,10000
58,18-05-2014,13500,4500,9000
59,24-05-2014,13500,4500,9000
60,24-05-2014,13500,5000,8500
61,24-05-2014,13500,3500,10000
62,24-05-2014,13500,3500,10000
63,25-05-2014,13500,3500,10000
64,30-05-2014,13500,3500,10000
65,30-05-2014,13500,3500,10000
66,30-05-2014,13500,3500,10000
67,13-06-2014,5000,4500,500
68,13-06-2014,5000,4500,500
69,27-09-2014,13500,6000,7500
70,27-09-2014,13500,4000,9500
71,17-01-2015,14000,4000,10000
72,18-01-2015,14000,3500,10500
