Ref_Date,GEO,TRAV,Vector,Coordinate,Value
1972/01,Canada,Total non-resident travellers,v125184,1.2,1379519
1972/02,Canada,Total non-resident travellers,v125184,1.2,1431063
1972/03,Canada,Total non-resident travellers,v125184,1.2,1739676
1972/04,Canada,Total non-resident travellers,v125184,1.2,2098156
1972/05,Canada,Total non-resident travellers,v125184,1.2,2987394
1972/06,Canada,Total non-resident travellers,v125184,1.2,4254545
1972/07,Canada,Total non-resident travellers,v125184,1.2,6987169
1972/08,Canada,Total non-resident travellers,v125184,1.2,6583003
1972/09,Canada,Total non-resident travellers,v125184,1.2,3628550
1972/10,Canada,Total non-resident travellers,v125184,1.2,2473249
1972/11,Canada,Total non-resident travellers,v125184,1.2,1855704
1972/12,Canada,Total non-resident travellers,v125184,1.2,1730150
1973/01,Canada,Total non-resident travellers,v125184,1.2,1508870
1973/02,Canada,Total non-resident travellers,v125184,1.2,1496932
1973/03,Canada,Total non-resident travellers,v125184,1.2,1859570
1973/04,Canada,Total non-resident travellers,v125184,1.2,2344516
1973/05,Canada,Total non-resident travellers,v125184,1.2,3038201
1973/06,Canada,Total non-resident travellers,v125184,1.2,4448501
1973/07,Canada,Total non-resident travellers,v125184,1.2,6896788
1973/08,Canada,Total non-resident travellers,v125184,1.2,6824473
1973/09,Canada,Total non-resident travellers,v125184,1.2,3681081
1973/10,Canada,Total non-resident travellers,v125184,1.2,2589142
1973/11,Canada,Total non-resident travellers,v125184,1.2,1865690
1973/12,Canada,Total non-resident travellers,v125184,1.2,1735382
1974/01,Canada,Total non-resident travellers,v125184,1.2,1428826
1974/02,Canada,Total non-resident travellers,v125184,1.2,1479261
1974/03,Canada,Total non-resident travellers,v125184,1.2,1773884
1974/04,Canada,Total non-resident travellers,v125184,1.2,2186514
1974/05,Canada,Total non-resident travellers,v125184,1.2,2951718
1974/06,Canada,Total non-resident travellers,v125184,1.2,4236090
1974/07,Canada,Total non-resident travellers,v125184,1.2,6320431
1974/08,Canada,Total non-resident travellers,v125184,1.2,6765296
1974/09,Canada,Total non-resident travellers,v125184,1.2,3211782
1974/10,Canada,Total non-resident travellers,v125184,1.2,2439716
1974/11,Canada,Total non-resident travellers,v125184,1.2,1890138
1974/12,Canada,Total non-resident travellers,v125184,1.2,1713754
1975/01,Canada,Total non-resident travellers,v125184,1.2,1455230
1975/02,Canada,Total non-resident travellers,v125184,1.2,1454913
1975/03,Canada,Total non-resident travellers,v125184,1.2,1842890
1975/04,Canada,Total non-resident travellers,v125184,1.2,1861161
1975/05,Canada,Total non-resident travellers,v125184,1.2,3127165
1975/06,Canada,Total non-resident travellers,v125184,1.2,4343860
1975/07,Canada,Total non-resident travellers,v125184,1.2,6286320
1975/08,Canada,Total non-resident travellers,v125184,1.2,6589034
1975/09,Canada,Total non-resident travellers,v125184,1.2,2931139
1975/10,Canada,Total non-resident travellers,v125184,1.2,2429405
1975/11,Canada,Total non-resident travellers,v125184,1.2,1912627
1975/12,Canada,Total non-resident travellers,v125184,1.2,1676053
1976/01,Canada,Total non-resident travellers,v125184,1.2,1422130
1976/02,Canada,Total non-resident travellers,v125184,1.2,1452947
1976/03,Canada,Total non-resident travellers,v125184,1.2,1580295
1976/04,Canada,Total non-resident travellers,v125184,1.2,2126663
1976/05,Canada,Total non-resident travellers,v125184,1.2,2881071
1976/06,Canada,Total non-resident travellers,v125184,1.2,3857986
1976/07,Canada,Total non-resident travellers,v125184,1.2,6070231
1976/08,Canada,Total non-resident travellers,v125184,1.2,5690906
1976/09,Canada,Total non-resident travellers,v125184,1.2,3253348
1976/10,Canada,Total non-resident travellers,v125184,1.2,2285357
1976/11,Canada,Total non-resident travellers,v125184,1.2,1648157
1976/12,Canada,Total non-resident travellers,v125184,1.2,1539141
1977/01,Canada,Total non-resident travellers,v125184,1.2,1226023
1977/02,Canada,Total non-resident travellers,v125184,1.2,1307006
